Model-Name,comment,stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Since most of you would already know about the kinda average specs. Here are my impressions of using the phone:> Built feels good, the plastic back panel doesn't feel cheap at all and the buttons are very tactile. The notification light is placed on the power button, which is hard to notice. The back panel has a fine texture, but it doesn't feel or give any extra grip, but the curved edges help in holding the phone better.> Display resolution is not right for the price and screen size. It's 720p+ on a massive 6.5inch screen. There is no outright pixelation, but if you have seen 1080p screens before you would notice that the text and icons are not sharp enough. If you used a 720p phone before then this display would be okayish. Other than that the 20:9 ratio makes the display quite tall. Brightness is decent.> Stock Android experience: Probably the main selling point of Nokia would be the clean Android OS it offers. There are no additional apps installed in the phone, except for some basic Google apps. Even you can choose not to install some Google apps like Duo, Google News, Google Play Music etc during the setup.Some may not like this as most other brands pre-install some social media and utility apps like voice recorders.The phone is upto date with security patches till August 2020 on 5 Sept 2020, which is nice. The optimizations are good and regular apps like social media, browsing and video playback work fine. I don't game, so idea about that.There is 2 year software update guaranteed as a part of the Android One programme.> Battery life: It's excellent, phone is well optimized for battery life. In my two days of use with 4G data on always, the battery lasted very well. I got 2.5 to 3 hrs screen-on-time for every 25% of the battery on regular use. But no inclusion of fast-charging is quite disappointing.> Cameras: Haven't tested much, but GCam seems to work better as seen from some reviews. Will update this later.> Confused hardware: There is NFC (probably because the phone was for European markets) but no information on a Gyro sensor. Though there is a compass, which some say is not available.Other than that you get a clear case and headphones in the box, like most other Nokia phones.Overall, if you want to buy a stock android based phone or cannot wait for flash sales, then the Nokia 5.3 is good.

  
",4.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  After using for two days , I say that a wonderful product designed and developed by nokia, little dissatisfied with the size of the phone, little bigger on size, I've been a fan of nokia since windows Phone, already using 6.1, 6.1 plus and this one is the latest addition in arsenal, the greatest thing is software updates from android one and nokia living upto it's promise. Had no issues with any of nokia phones till date like heating, lag. Zero bloatware and a pure android experience which makes it a wonderful experience to enjoy the phone. Basically I am an iphone user earlier, but after using nokia 3 which is my very first phone after nokia launched in Android, since then I have shifted to nokia completely. A wonderful brand one can rely on.

  
",5.0 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Sand","









  
  
    
  Just Ordered.Waiting for the phone.Feel quite overpriced,but I am sure this phone lasts more than 3 years without any single issues which other phones don't,in this segment

  
",4.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Processor is not good

  
",1.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Battery life and Screen

  
",5.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Camera & Network indicator:24 hours full observeation:Camera not even 16mp quality. No sharp image. I dont need camera much this quality is not acceptable.Without Sim mobile network shows bars. I guess thts fault. Little faster battery drainage.Rest all features are awesome, processor is fine for normal user but gaming i dont know. Has dual apps of whatsapp & fb, etc

  
",2.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Camera Quality is not that good. Many mobiles with great camara quality is available on cheap price. Not very satisfied with camara, as it get blurred when object is moved.

  
",3.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Switched to Samsung again after years of using Xiomi (no to Chinese brands ).No useless adds on mobile now :DNo worries about the data securityAmoled screen is awesome.Great builtCamera (no over filters), speakers are quite decentSamsung pay and edge screen are quite handy and useful.Best part is its not just ensembled but manufactured in india.

  
",5.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Good phone. As I have M30s and M31 along with this A31, I can say that this phone is beautiful, light and trendy. Processor is decent and it can capture good photos in daylight. Night photography is not up to the mark but it's a good improvement from M30s. A value for money phone with great battery life.

  
",5.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Not price worth but looks are great suitable for girls royal look

  
",4.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  The phone is good...battery is excellent..its response is also commendable..however, its camera is not up to the mark. Images are unrealistic. a slight zooming of the clicked images is enough to reveal the flaws. Something i was not expecting with a 48mp camera.

  
",3.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  I have just buy one of A31 sumsung mobile & very disappointed by same is started hanging & take lots of time in charging..Very poor quality by this price range.

  
",1.0 out of 5 stars
"Samsung Galaxy A31 (Prism Crush Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  I don't think it will be a nice decision to purchase this product. The product I received having touch issue. Can't even pick the phone, Cant unlock the phone, can't even switch off the phone.

  
",1.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  This review's to all those who were eagerly waiting for the phone to launch and get hands on, but before all it's always hard to get the ""DEMO"" at the earliest so.. ""IMAGES"" above are to those who can't find demos much often/needed color/to avoid contacts at stores during Covid.Pros - Leather back warmth feelCons - Back Camera's not upto the mark when compared to the phones in market and of this price range, though it has given a sleek and leather finish with minimized thickness. . It's pro fades out its Con so can go for it blindly but only if you think ""CAMERA'S"" not your ""PRIORITY""Features I thought would be there was 9.1 surround music/Dolby Atmos but it comes with:Real Sound Technology, just have a look into it if you're specific2. Super Amoled+ Display.Hassle free(Inside the box):Tempered glass comes on the phone itself so no extra work on fixing, which might sometimes go wrong.2. Silicon back case (if you're looking for touch and feel of leather back, better not use.. but use a side bumper if available for protection) Do also post where we can find side bumper, cos it's hard finding for new phones.. Thanks!Looking for a Standout design in 15-20k range? Then, ""GO FOR IT"" that's Value for money!

  
",4.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Hi, I am writing this review after 3 days of usage1. Firstly thanks to Amazon. Got delivered at a lightning speed. Ordered ok Saturday. Launch date was on 21st September and got delivered the same day at morning.2. Now about Oppo 17, this is very light weight, speed is good, I ordered dynamic orange. Trust me, this is the best and attractive colour I found ।l, blue is a good option too if you don't like a funky coloir।3. Camera I did not found upto the mark . Night mode is not that great but yes if you are a selfie person, go for it. I was using Ralme Xt earlier and it's camera was much better. But ok I will manage . I am a part time photographer and often I use my phone to click pics. Realme supported me a lot. Let's see how much Oppo supports.4. Speed is good. 6 GB 128 GB. Good combo. No lagging till now. Going smooth.5. Touch is awesome. Phone gets unlocks quickly. No lagging here too .Rest I will use for some more days and come back with my reviews again.

  
",4.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  i like the camera quality, images and videos are sharp and clear. there is a wee bit of noise in low light areas but it can be overlooked.it looks quite a bit like the iphone X but is largerdisplay is on par with iphone xmusic sounded as good as iphone xi could just unbox and get on with it as oppo provided the tempered glass, back cover as well. which was a pleasant surprise as I was not expecting. 😄Also the design, finger print sensor on display, face recognition .... lot of features.dual 4G standy by with an SD card is a blessing and I was looking for exactly what this phone offered at the right price and also the back cover made  of leather is so freaking rich and classy.quite happy with what I got. This is probably the fastest decision I have ever taken around buying a phone and I am hoping this will last long, like most of my other phones.

  
",5.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  So it's been three days since I'm using this phone and I'm completely in love with it at the price I got.1. Weight of the Phone is very less when compared to any phone in this segment and this matters a lot to me while carrying or casual music listening or any stuff.2. Back leather type wrapper is really good and gives a premium feel.3. UI is also good in terms of usage and mobile handling and compatibility4. Camera is decent for video calls/ normal phots not that great especially for shotting long-distance objects/ sceneries. But this doesn't matter to me a lot. Come on use a professional camera if you want photography at peaks.5. Design is excellent and it is the slimmest phone at 7.43mm6. Build Material quality is good.7. Sound is good but not that great for melodies or any songs please use earphones/headphones.8. Display is really good and it's out of my expectation as I'm using Samsung AMOLED previously.9. Processor is fast for general purpose and played COD and some other games at medium graphics didn't observe any lag.10. Battery is okay and keeps you charged up for one day (General usage with low- medium gaming)11. Software is fast and no clutter apps or extra apps.Overall I would definitely recommend if someone wants a nice phone for general usage which looks classy.

  
",4.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  1st Buyer  of OPPO F17Awssm back leather and fantastic phone camera is very excellent

  
",5.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  There is no inbuilt call recording&there is not inbuilt call block application without this why should we purchase oppo।very bad experience with oppo now with this purchase

  
",1.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  Hi I got this phone 24 sept morning .phone is good and light weight so I love and purchased this.but this phone big point is it's not played videos like 4k videos and hd plus videos properly I can't understand this is which type of mistake is.oppo brand must solve this soon as soon possible. I also talk to Amazon customer care unit they arrange technical assistance he come 29sept  . Then let's see what type of problem is . I use before realms xt Samsung m21 and 31 they are best one chooses this for only of light weight and design ... Totally at that point disappointed ...hope to solve this problem ..........

  
",1.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  CLASSY PHONE FOR CLASSY PEOPLE, IF U LIVE A MEANINGLESS SHOW OFF LIFE, TAKING SELFIES AND PICS THEN U WONT LIKE IT AND IF U CANT AFFORD A XBOX/ PS4 AND LOOK TO PLAY GAMES IN PHONES THEN OBVIOUSLY U WONT LIKE IT , AS I SAID ITS CLASSY PHONE FOR CLASSY PEOPLE, IF U WANNA USE A PHONE LIKE A PHONE THEN ULL LOVE IT If u are looking for dslr in phone and xbox and playsation in phone then buzz off, u will never understand what class is all about

  
",5.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  It is nice phone but it is little bit higher cost than expected in these segments

  
",4.0 out of 5 stars
"Oppo F17 (Dynamic Orange, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","









  
  
    
  It's not worth for this amount after Unboxing and using it for a moment I feels like that, because I am using oppo mobiles more than 3 yearsBut this product is okay by weightless,fast charging  but not okay with with cameras,finger print accessibility, battery performances,And processor is snap dragon 662 nothing more specific things .So oppo have to launch little bit better quality product for this amountDynamic orange 🍊,first you realise the colour of orange and this phones colourDon't try to give fake colour or spread fake informationsSo I don't suggest to buy this product to anyone

  
",2.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  At first glance it looks a bit bulky. Camera, display etc. are satisfactory. Overall GOOD non Chinese phone.However, for their improvement, I tried to give some critical feedback to the company over phone but it was not so easy, so, I am writing here sothat Samsung India can take this critical review for their improvement.Battery:Battery is 7K mha but it is draining so fast that its overall backup time is slightly better than any other average phone.User Interface:User interface needs tremendous improvement. You can't take screenshot easily. You need to learn fine motor coordination between your fingers and power&volume button with microsecond precision. After three days I discovered taking screenshot by swapping screen. But this easy method for taking screenshot is not easy to find in its setting section. Automatic redial isn't available. also in setting section, searching for basic operation like redial, call waiting etc are either missing or very difficult to access. UI should be more intelligent and intuitive. Call recording should take permission from user before it starts recording any call.Dolby Sound:Dolby sound effect is excellent but its available only for external speaker. Inbuilt speaker don't have Dolby effect. You hv to buy headphone or external speaker for experiencing Dolby sound effect. Its Dolby software is so impressive that its work on a cheapest headphone but Samsung's own inbuilt speaker doesn't.External Outlook:Read somewhere that this phone has 3D prism like glastic body. GLASTIC seems to be a discovery of new material (Glass+Plastic) because its looks transparent and shining. But in reality, its a cheap looking smooth and slippery plastic back body. Also, Its prone to scratches neither its water resistant. Sometimes it generates heat. In this price segment, Samsung can easily provide metallic back for better appearance and transfer of heat.Overall, its good non chini phone with good camera and display, a bit bulky, satisfactory speed, scope of tremendous improvement in UI and setting, and bit overpriced.

  
",5.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  Cons:_OverpricedBattery drain only fast in normal  uses give only  24 hours  backup.Sound quality  is so soBuild quality  is not goodPros:_Good processorGood  cameraUser interface  is goodFinger print sensor  working  very fast but some times missed out.After six days of uses, impressed  with camera performance, Display, fingerprint  working, and processor.Disappointed  with Battery  performance  my brother  realme 2 giving easily 2days battery  backup with 4250mah, but this phone is horrible in battery  backup  only  24 hours  with 7000. I have  doubt  its not 7000 man battery its like 2000 or 2500mah. Heating  issue also faced during  charging.

  
",1.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  Awesome camera Awesome battery Awesome display  ....Super clear ZoomSuper Macro sensorSuper ultrawide angleAtlast Thanks Samsung for 730G

  
",5.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  Genuine Feedback to samsung and all buyersNot Upto the Mark..Battery is good, but mobile is very heavy.. not handy for one hand operation.. if you use it continuously then you feel pain in your  hand, designed is out dated, poor quality material.. camera is just okay..I am not happy overall performance of this phone at this price band...Mobile should be perfect for 15-16k price band..Lookwise not goodDisplay qaulity is just good not bestSound quality is goodCamera not much good that I am expecting.Big screen which perfect for movie watcher.. but after 30 minutes you feel pain in your hands.I bought Electric blue colour, it's look like samsung old samrt phone .My request to Amazon, is it possible to return this mobile. Then help me for return...I am not happy with overall performance of the phone...

  
",1.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  Ok so here comes the first review of this phone. Ordered on the first day of its sale and received on 3rd day. Indeed its a big and bulky phn but easy to handle. Few highlights:1. Seamless fingerprint scanner. I hv heard tht recent samsung phns have ths issue , however i dnt see any in ths phn. Its as gud as my past phns Asus 6z and Vivo v15pro. Side fingerprint scanner on the power button really makes it stylish and too easy to handle as well.2. Camera quality is really gud wth many features which luks tempting which im yet to explore. Even in dim light it scores quite well. Have all latest features like slow mo, 10x zoom, focus lens, panorma view and other added features.3. Battery ofcourse was the highlight while buying ths phn. I received this phn at 43%. And even after a rigorous 3 hr session of data transfer and apps installation it still holds at 33%. I believe it gonna last 2 days easily wth heavy net usage , mild games and gud 2 hrs of talk time.4. Luks wise it does seem premium despite a plastic back.5. Wonderful touch and a decent processimg speed. I tried playing 7-8 apps at the same time and it never hanged or lagged despite 50% memory up. Yet to try on heavy games though.6. Front cam does spoil the fun while watching full screen videos, like a small black dot bt can be lived wth.7. No headphones in the box.8. C to C charging cable capable of reverse charging too.Overall i wld rate it 4/5. Its one of the best non chinese phn available in the market for those who r luking for a huge battery wth a decent cam and light gaming purpose.Wld update on battery and cam after few days of usage

  
",5.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  There's something wrong with the new Samsung M51 mobile. Many other users are also facing the same issue. We are unable to connect through Wi-Fi on Samsung M51.Meanest Monster Ever ... HahahahaThis meanest monster is performing poorly within 5 min of unboxing. My eight yr old Lenovo still works like charm with Wi-Fi.Issue: When you trying connecting through Wi-Fi, on giving correct password, it says ""Incorrect Password"".I have done every troubleshooting step suggested by Samsung Tech support:1. Forget the connection and reconnect again.2. Update the phone s/w to latest version.3. Reset Settings4. Reset Network Settings5. Factory Data ResetI have applied every step suggested by tech-support and the result is still the same.The most irritating thing is how can a company like Samsung mess-up such a basic feature & to the surprise, even the tech support has now run out of troubleshooting solutions.Instead of replacing it with new phone, tech support has now told me to get the hardware fixed from Samsung Service centre. I don't get it why should I take a brand new phone to service center & get it opened. Instead a replacement of this phone should be there, I have not even used it for more than an hour.Last year I ordered an MI phone from Flipkart, the battery was getting drained very fast. Within the next day, the phone was replaced without questions asked.Dissappointed by Amazon, the way they are handling this issue.Don't spend your hard-earned money on this phone. Unfortunately, if your phone turns-out to be faulty, then there is a never ending process to take care of issue.

  
",1.0 out of 5 stars
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","









  
  
    
  This is a perfect mobile for you,1. If you properly read the spec before buying this mobile2. If you don't expect all iPhone features in this mobile,3. if you are not a addictive gamer,4. If you don't expect your mobile to be a speaker,5. If you do concern about your data handled in Chinese mobiles,6. If you need better SAR value,7. If your first preference is battery, and decent level of camera quality,8. If you need all trending features to be covered in non Chinese mobile,THEN GO FOR IT... ALSO TRY TO UPDATE TO LATEST SOFTWARE ONCE AFTER SETTING UP YOUR MOBILE, OTHERWISE HEATING ISSUE WILL BE THERE.

  
",5.0 out of 5 stars
